,Unnamed: 0,Comentario,Nome,Data,Comentario_Limpo,Sentimento
54005,54005,"Not the greatest film of all time but i dont fine it bad, sometimes the cgi looks weird and ceartain scenes are meh, but for me is an enjoyable movie and not as bad",David O,2024-02-20,greatest film time dont fine bad sometimes cgi look weird certain scene meh enjoyable movie bad,positivo
54006,54006,"The movie was great, some wired moments. But the story was awesome. Like the setting.",April s,2024-02-20,movie great wired moment story awesome like setting,positivo
54007,54007,"Great movie, kept my interest through the story line. It was a great origin story. Loved the Female cast. Dakota was fantastic.",Amanda Y,2024-02-20,great movie kept interest story line great origin story loved female cast dakota fantastic,positivo
54008,54008,"I disagree with the horrible reviews. It
was nowhere near as bad as some reviews made it out to be. Sure there were some aspects that were patently ridiculous but, hello Dr Strange 2, Thor Love and Thunder, Ant Man Quantimania. Not meant to be over analyzed. It was entertaining at least.",Karen H,2024-02-20,disagree horrible review nowhere near bad review made sure aspect patently ridiculous hello dr strange thor love thunder ant man quantimania meant analyzed entertaining least,positivo
54009,54009,"It was a superhero movie. It was fun, good action, good scenes. I don't know why so much hate for this film",Omar B,2024-02-20,superhero movie fun good action good scene dont know much hate film,positivo
54010,54010,"To be fair, I never have tried to climb a wall.",Margaret C,2024-02-20,fair never tried climb wall,positivo
54011,54011,It’s not even fun bad 🤦🏽‍♂️,Ondarius,2024-02-20,’ even fun bad 🤦🏽‍♂️,negativo
54012,54012,Entertaining and action packed when you least expected. The ending was a little dull and main character should have had a better outcome. Still worth checking out.,juanita l,2024-02-20,entertaining action packed least expected ending little dull main character better outcome still worth checking,positivo
54013,54013,is there a way to put negative stars? There needs be deleted out of my brain.  Very dumb movie all around. terrible,Tony S,2024-02-20,way put negative star need deleted brain dumb movie around terrible,negativo
54014,54014,"I loved this movie in the same exact way I loved fast x. It's so unintentionally funny that I'm glad I saw it. Nothing in this movie makes sense. So many things happen off screen, the villain is just atrocious. He's so bad that there's more than a handful of times when he's not even saying whatever he originally said. Dakota Johnson is Hollywood nepotism at its finest. It's almost impossible to believe that she's the lead actress in a movie and was probably paid at least a million dollars for this movie. Hollywood makes no sense. It's so goofy and stupid that it's hilarious.",Albert R,2024-02-20,loved movie exact way loved fast x unintentionally funny im glad saw nothing movie make sense many thing happen screen villain atrocious he bad there handful time he even saying whatever originally said dakota johnson hollywood nepotism finest almost impossible believe shes lead actress movie probably paid least million dollar movie hollywood make sense goofy stupid hilarious,positivo
54015,54015,"es una película genérica que cumple en presentar al personaje, disculpen quien es fan de este personaje? es una historia que entretiene y nos presenta quien es y cual es su poder...",Tenientes Carlos y Emperatriz B,2024-02-20,generic film meet character apologize fan characters story entertain present u power,positivo
54016,54016,"nah man, the film's delivery is freaky stiff, the story telling is bland, the antagonist's background isn't really explored, even though the cast is already wow",Marwan W,2024-02-20,nah man film delivery freak stiff story telling bland antagonist background isnt really explored even though cast already wow,negativo
54017,54017,"This movie was plain awful!!  You sitting there waiting for them to get powers and fight back. There was nothing. The worst superhero movie I've ever seen. I wouldn't recommend to watch it on streaming when it happens. An absolute waste of my time.  How can you love a Superhero movie, when there was no Superhero? Duh!!",Tony B,2024-02-20,movie plain awful sitting waiting get power fight back nothing worst superhero movie ive ever seen wouldnt recommend watch streaming happens absolute waste time love superhero movie superhero duh,negativo
54018,54018,"Not a real movie. Going into it I did not know what the plot was and leaving I was even more confused. The camera work is what I imagine Madame Webb sees when glimpsing the future. The only glimmer of hope was when I thought I saw Morbius in the background, but alas, I’ve was not there.",Mucho,2024-02-20,real movie going know plot leaving even confused camera work imagine madame webb see glimpsing future swimmer hope thought saw orbits background ala ’,positivo
54019,54019,"If they still had double features , it would make a good B side. I had a good time.",DAIL W,2024-02-20,still double feature would make good b side good time,positivo
55480,55480,It was a decent film! Not perfect but enjoyed by my daughters!,,2024-02-20,decent film perfect enjoyed daughter,positivo
55481,55481,Absolute loved it! Worth seeing in theater.,Dorothy,2024-02-20,absolute loved worth seeing theater,positivo
55482,55482,"I honestly don't understand why so many critics are panning post Avenger super hero movies (marvel and dc) and constantly compare them to Avenger level hype. News flash, there were MANY movies prior to avengers to build up to the story we saw which was broken up into multiple movies itself. 

Movies like this, tge marvels etc. are fun and full movies to enjoy that are super hero centric with fun cgi moments and character building. They've had great performances and are simply being gunned down by comparison to movies that took decades to build up to. 

I found all the leading ladies performances enjoyable, the action scenes fun and the use of madame webs powers very interesting. 

I truly hope that they're able to secure Dakota for future projects, perhaps movies that are part of the greater marvel universe, which it seems people are more happy to give 100% ratings to.  I really don't get the critic scores and I personally feel this movie (among others) shouldn't be sitting below 80%. 

I hope in time more people see this movie, even if it doesnt recoup costs for Sony. But, perhaps gives the ability for the characters to live on in live action. 

Worth a rent/stream for sure if you're not sold. Still worth a fun matinee priced movie for sure.",Danny F,2024-02-20,honestly dont understand many critic planning post avengers super hero movie marvel dc constantly compare avengers level hype news flash many movie prior avengers build story saw broken multiple movie movie like the marvel etc fun full movie enjoy super hero centric fun cgi moment character building theyre great performance simply gunned comparison movie took decade build found leading lady performance enjoyable action scene fun use madame web power interesting truly hope theyre able secure dakota future project perhaps movie part greater marvel universe seems people happy give rating really dont get critic score personally feel movie among others shouldnt sitting hope time people see movie even doesnt record cost sony perhaps give ability character live live action worth rentstream sure youre sold still worth fun marine priced movie sure,positivo
55483,55483,Not only the worst spider verse movie but the worst movie ever. If I could give it zero stars  I would.,Damian C,2024-02-20,worst spider verse movie worst movie ever could give zero star would,negativo
55484,55484,"It was bad, so very bad. You thought Morbius was bad, this is even worse. The writing was bad, the ADR (additional dialogue recording) was bad and didn't match the actors mouth movements, it feels like the people who made this movie kind of wanted it to be a horror movie but didn't really commit to it. It also felt like Sony just don't care about these characters, all they're doing is sticking to a contractual agreement that says they have to release a Spider-Man / Spider-Man character movie every 5 years and 9 months otherwise the rights go back to then Marvel Entertainment which is know Marvel Studios. Sony please stop.",Amanda C,2024-02-20,bad bad thought orbits bad even worse writing bad adr additional dialogue recording bad didnt match actor mouth movement feel like people made movie kind wanted horror movie didnt really commit also felt like sony dont care character theyre sticking contractual agreement say release sideman sideman character movie every year month otherwise right go back marvel entertainment know marvel studio sony please stop,negativo
55485,55485,Even if I don't particularly like a movie I generally can get some enjoyment out of seeing it a the movies. Not so much this time.,Gregory R,2024-02-20,even dont particularly like movie generally get enjoyment seeing movie much time,positivo
55486,55486,"Muitos falaram mal do filme
Mas superou minhas espectativas, história boa e personagens legais 
Valeu muito a pena assistir esse filme",Matheus S,2024-02-20,many spoke badly movie exceeded expectation good story cool character worth watching movie,positivo
55487,55487,I like it had action comedy and talks about spider man without talking about it I thought it awesome so did my friend I will watch it again,christina,2024-02-20,like action comedy talk spider man without talking thought awesome friend watch,positivo
55488,55488,"Great origin story. I actually enjoyed the storyline. Chemistry and acting was great. Overall, a fun movie worth a second watch. I hope the powers that be ignore the hateful comments and continue to build from this movie because I'm very much looking forward to their evolution as superheroes!",Taylor  A,2024-02-20,great origin story actually enjoyed storyline chemistry acting great overall fun movie worth second watch hope power ignore hateful comment continue build movie im much looking forward evolution superheroes,positivo
55489,55489,"I love it!!! It's funny, witty , well-written and also some emotional scenes are good. It's not your regular marvel movie if you're expecting some epic battle… it's not that but it's still a good movie to watch. I hope they'll make a part 2.",Rosally,2024-02-20,love funny witty wellwritten also emotional scene good regular marvel movie youre expecting epic battle… still good movie watch hope they make part,positivo
55490,55490,"Sinceramente, es una película ""Divertida/Entretenida/Disfrutable"" y si tienen la oportunidad de vivir la experiencia en 4DX mucho mejor.",Sebita M,2024-02-19,honestly funentertainingenjoyable movie opportunity live dx experience much better,positivo
55491,55491,"To be honest, this movie was actually very good. If you liked the Sam Raimi Spider-Man movies, you will definitely like this. I did very much so. The problem is that the mainstream critics are nowadays usually off about lots of things, and if you're movie doesn't have explicit content, they will not give you a good review. Further, many of the user critics are part of the Tik Tok generation and have no patience for anything these days. If you grew up in the 90s, you will definitely like this movie.",Dr. Ikjyot Singh K,2024-02-19,honest movie actually good liked sam rail sideman movie definitely like much problem mainstream critic nowadays usually lot thing youre movie doesnt explicit content give good review many user critic part tik tok generation patience anything day grew definitely like movie,positivo
55492,55492,It was great love it wasn’t bad as people say. I was so intrigued with the clairvoyance she experienced and the the girls were great when they were together a great movie,mw,2024-02-19,great love ’ bad people say intrigued clairvoyance experienced girl great together great movie,positivo
55493,55493,"Es una historia de origen entretenida como para verla un domingo, la ví con mi esposa y mi hija, la trama nos mantuvo espectantes de su desenlace.",Fernando A,2024-02-19,history entertaining origin see sunday saw wife daughter plot kept u speculating outcome,positivo
55494,55494,"Loved the suspense and the action , great actress!",Eileen kawas,2024-02-19,loved suspense action great actress,positivo
55495,55495,"It's definitely one of the worse superhero films, characters aren't well known, or interesting. Plot isn't well done, major fail for Sony and their Spiderman films. When the market has been saturated with superhero films, you have to bring something special, this definitely is it!",Nick M,2024-02-19,definitely one worse superhero film character arent well known interesting plot isnt well done major fail sony sideman film market saturated superhero film bring something special definitely,negativo
55496,55496,"the acting was good, the girls were highly lovable,  but the writers wrote there hero and villian to both have highly questionable behaviors and motivations. there was too many plot wholes and fuzzy logic to fully enjoy this super hero movie with the least super hero-ing.",Pengui N,2024-02-19,acting good girl highly movable writer wrote hero villain highly questionable behavior motivation many plot whole fuzzy logic fully enjoy super hero movie least super heroine,positivo
55497,55497,Classic Marvel. Not bad at all. Recommend for teens and kids.,Juan,2024-02-19,classic marvel bad recommend teen kid,positivo
55498,55498,"Terrible movie. Boring, shallow plot, subpar acting, cheesy lines, no character development and the characters themselves are poorly written and acted. Oof, that was rotten.",dallased25 W,2024-02-19,terrible movie boring shallow plot super acting cheese line character development character poorly written acted of rotten,negativo
55499,55499,"I'm sorry :(( I don't want so say it's bad, what I will say is I was extremely disappointed and that's hard for me cause I was really looking forward to this after discharging from the hospital. The story just feels forced and you can tell the actors knew their lies were just lines. please go see somthing else and wait for this when it's streamable. You'll feel more fulfilled watching literally anything else in theaters. Sorry to anyone feeling let down by reading this.. just being honest :(",Eyris U,2024-02-19,im sorry dont want say bad say extremely disappointed thats hard cause really looking forward discharging hospital story feel forced tell actor knew lie line please go see something else wait streamable you feel fulfilled watching literally anything else theater sorry anyone feeling let reading honest,positivo
56980,56980,"what a waste of time the characters don't grow at all as a person, it's horrible how they make the protagonists complain all the time the villain is very stupid in scene 3 where he comes out and repeats ""I have to kill them"" as if he hadn't done it many times before the cgi is terrible",juan c,2024-02-19,waste time character dont grow person horrible make protagonist complain time villain stupid scene come repeat kill hadn done many time cgi terrible,negativo
56981,56981,"This is a solid entry into the Sony Marvel Universe.  As origin stories go, this is a great stand alone movie that sets up some great characters and also ties into Spider-Man.",Mark O,2024-02-19,solid entry sony marvel universe origin story go great stand alone movie set great character also tie sideman,positivo
56982,56982,I would like to see more. Good understandable story line. I did not see the comic book,Dave H,2024-02-19,would like see good understandable story line see comic book,positivo
56983,56983,"I gave the movie a chance because wasnt Disney.  Another all females cast nothing wrong with it. Hollywood need to understand if are going to keep doing this kind of movies need to be ready for more flops. Really the movie is a mess. Mention what part and you can agree is bad. Scripot, action and FX. All are awful.",Daniel O,2024-02-19,gave movie chance wasnt disney another female cast nothing wrong hollywood need understand going keep kind movie need ready flop really movie mess mention part agree bad script action fx awful,positivo
56984,56984,"I don’t mean to be rude, but this movie is a total waste of time and money,  it is worst Marvel movie ever being produce.",Eugene,2024-02-19,’ mean rude movie total waste time money worst marvel movie ever produce,negativo
56985,56985,"There is a new gold standard in filmmaking, and it is Madame Web.  The makers of Madame Web put on an absolute clinic with the creation of this masterpiece that the likes of Tarantino, Scorsese, Spielberg and Wiseau and Breen should study and attempt to emulate.  USC film school should have an entire class - nay, SEMESTER dedicated to the study and analysis of this next evolutionary step in the art of filmmaking.  If Kubrick and Hitchcock were alive, they would weep at their wasted years and failures upon viewing this masterclass and peak of cinematic culture.  

As a viewer, Madame Web was not a movie, but an experience.  Just watching this grand treasure on the silver screen was the closest that most of us will ever be to being in the presence of true greatness and genius.  Madame Web should be shown in the Louvre at all times.  Temples should be erected where those of us so touched, so moved by this experience can go to pay our respects, or perhaps dedicate our lives to a humble existence of servitude and deep reflection on the message, lessons, and teachings shared by director S.J. Clarkson in this new form of enlightenment.

I am weeping at the beauty of what Sony Pictures has created and shared with all of us, wealthy and poor, young and old alike. My life will never be the same.  We are not worthy.",John H,2024-02-19,new gold standard filmmaking madame web maker madame web put absolute clinic creation masterpiece like tarantino scores spieler wise been study attempt emulate usc film school entire class nay semester dedicated study analysis next evolutionary step art filmmaking brick hitchcock alive would keep wasted year failure upon viewing masterclass peak cinematic culture viewer madame web movie experience watching grand treasure silver screen closest u ever presence true greatness genius madame web shown love time temple erected u touched moved experience go pay respect perhaps dedicate life humble existence servitude deep reflection message lesson teaching shared director sj clarkson new form enlightenment weeping beauty sony picture created shared u wealthy poor young old alike life never worthy,positivo
56986,56986,"Good plot. Parts felt drawn out, and some parts felt rushed. But overall a really good story.",Michael H,2024-02-19,good plot part felt drawn part felt rushed overall really good story,positivo
56987,56987,"I'm usually not a fan of Marvel superhero movies but I kind of enjoyed this. There is no real depth to any of the characters but that's par for the course with comic book movies. At times I enjoyed the tension build in act two but found it hard not to ignore that there were no reproductions from stealing a cab and driving around without plates, or how the time line jumps by weeks in the blink of an eye. Enjoyably passed the time on a rainy afternoon and made me laugh in the right moments.",Iain C,2024-02-19,im usually fan marvel superhero movie kind enjoyed real depth character thats par course comic book movie time enjoyed tension build act two found hard ignore reproduction stealing cab driving around without plate time line jump week blink eye enjoyable passed time rainy afternoon made laugh right moment,positivo
56988,56988,"I don’t know why this movie has such a low rating. Me and my family loved it! It was funny, adventurous, action packed, and heart warming. We absolutely loved it and even saw it twice. Acting is great and the story line kept us hooked. Definitely a must see!",,2024-02-19,’ know movie low rating family loved funny adventurous action packed heart warming absolutely loved even saw twice acting great story line kept u hooked definitely must see,positivo
56989,56989,"Sony does love money, don't they? There are fewer companies that I believe more shamelessly vie for the cash they believe is burning a hole in the pockets of superhero fans than the reluctant marriage of Marvel Studios and Sony Pictures. Quality and care are often sacrificed in favor of creating the next comic book movie blockbuster.

As a longtime Spider-Man fan, its almost painful to say that watching Madame Web was a slog. The existence of Madame Web's powers are almost completely absent, with little more to show for it than action sequences that stop and start at a whiplash-inducing pace, punctuated by editing that is nauseating as it is annoying. This pace is done no favors by the nonrhythmic and soulless plot, with its mere reason for being seems to be to serve as a precursor to another (hopefully better) movie. I was hoping this movie's saving grace would be its cast, which was a naive assumption. Almost all of the performances were awkward, flaccid, and cringe, with its cast desperately trying to find the pulse of this cadaver.

I will say that Adam Scott's performance as Ben Parker stood out to me. I've always admired Scott's loveable dork persona which he embodies in many of his roles, and I found myself drawn to this kind, funny, and younger version of Ben. He summoned a good couple of laughs from me, which offered more for the movie than any of its other weird, ill-timed quips.

I want to say I'm disappointed, but I'm not. This kind of glib storytelling is now par for the course for the superhero genre. Whether or not Madame Web was trying to stand out or settle for a cash-in is unclear. Maybe in 10 years this will become a cult classic among Spidey fans, but for now, it's a forgettable, spiritless embarrassment.",Steven M,2024-02-19,sony love money dont fewer company believe shameless vie cash believe burning hole pocket superhero fan reluctant marriage marvel studio sony picture quality care often sacrificed favor creating next comic book movie blockbuster longtime sideman fan almost painful say watching madame web log existence madame web power almost completely absent little show action sequence stop start whiplashinducing pace punctuated editing nauseating annoying pace done favor nonrhythmic goalless plot mere reason seems serve precursor another hopefully better movie hoping movie saving grace would cast naive assumption almost performance awkward facid fringe cast desperately trying find pulse carver say adam scott performance ben parker stood ive always admired scott movable work persona embodies many role found drawn kind funny younger version ben summoned good couple laugh offered movie weird alltime quit want say im disappointed im kind lib storytelling par course superhero genre whether madame web trying stand settle fashion unclear maybe year become cult classic among spider fan unforgettable spiritless embarrassment,positivo
56990,56990,"It wasn’t spider man, but it wasn’t the green lantern either it was ight  kinda cool fight scene’s but I honestly couldn’t help but laugh at some points of the plot it was so ehh not that substantial. But Johnson have it her all and she did a great job and she’s very pretty",Diego R,2024-02-19,’ spider man ’ green lantern either right kinda cool fight scene ’ honestly ’ help laugh point plot eh substantial johnson great job ’ pretty,positivo
56991,56991,"I really wanted this to be good. I like Dakota Johnson and thought she might bring an interesting angle to a new character. Thing is, the plot is incoherent - I was completely lost as to what was going on - I think the editing is to blame as characters jumped around a scene without continuity. Such a shame!",Simon S,2024-02-19,really wanted good like dakota johnson thought might bring interesting angle new character thing plot incoherent completely lost going think editing blame character jumped around scene without continuity shame,positivo
56992,56992,"Russ review - Madame Web Bad script right from the start. Lots of telling and not showing. The way that Dakota Johnson’s dialog is written and acted seems like this was her character’s (Cassie) first day as a human at the beginning of the film. Adam Scott portrays the only believable character. His ability to make that possible with bad dialog reminds me of Harrison Ford in the original Star Wars. Supposedly Cassie is a paramedic with the fire department. I’ve been a firefighter and a medical first responder. She seems like she has NO CLUE how to do her job. The situations that happen with the “bad guy” to make us realize he is the bad guy are nonsensical and contrived. Also, the bad guy sounds like all his dialog is re-recorded during post production. His lips are hardly ever visible and when they are. They barely move. It’s really weird. In fact there are a lot of characters speaking with their back toward the camera where you can tell it wasn’t spoken on the day. Frenetic blurry quick cuts to portray “action” in scenes that don’t make sense to be shot that way. I can appreciate the intended story, but it’s put together poorly. It saddens me because I was REALLY hoping this would be good. We don’t get to actually have any sympathy or empathy for characters. Everything is explained about the characters. Like they read the description off the call sheet and instead of using it as motivation for HOW to portray their characters, hey simply said it out loud. The movie prominently displays Mountain Dew and Pepsi, so that’s cool I guess.",,2024-02-19,rus review madame web bad script right start lot telling showing way dakota johnson ’ dialog written acted seems like character ’ case first day human beginning film adam scott portrays believable character ability make possible bad dialog reminds harrison ford original star war supposedly case paramedic fire department ’ firefighter medical first responder seems like clue job situation happen “ bad guy ” make u realize bad guy nonsensical contrived also bad guy sound like dialog recorded post production lip hardly ever visible barely move ’ really weird fact lot character speaking back toward camera tell ’ spoken day genetic blurry quick cut portray “ action ” scene ’ make sense shot way appreciate intended story ’ put together poorly gardens really hoping would good ’ get actually sympathy empathy character everything explained character like read description call sheet instead using motivation portray character hey simply said loud movie prominently display mountain dew pepsi ’ cool guess,negativo
56993,56993,"The film is a mess, the characters especially the three girls are so annoying and they are future superheroes? One says ""I don't need anyone taking care of me."" Well you kinda do idiot the villain has tried to kill you twice! Who ever wrote this mess needs to apologize and try harder, I was cheering on the villain in this film and in terms of acting Adam Scott is the only one putting in any effort, he deserves better.",Randy A,2024-02-19,film mess character especially three girl annoying future superheroes one say dont need anyone taking care well kinda idiot villain tried kill twice ever wrote mess need apologize try harder cheering villain film term acting adam scott one putting effort deserves better,negativo
56994,56994,"All in all I thought it was an enjoyable film. Was it perfect, no, but what movie is. If I’m going to see a superhero movie, I tend to suspend reality while watching. I go to enjoy myself, and not look for every plot hole. Just go watch the movie, grab some popcorn, and relax. Don’t look for something to complain about. It’s not going to win any major awards, but rarely do superhero movies ever do.",David,2024-02-19,thought enjoyable film perfect movie ’ going see superhero movie tend suspend reality watching go enjoy look every plot hole go watch movie grab popcorn relax ’ look something complain ’ going win major award rarely superhero movie ever,positivo
56995,56995,Great movie. My daughter and I loved it. Ignore the critics and enjoy it. Unless you normally agree with them 😂. I  find them to be mostly wrong. Go with the 55% who liked it.,James P,2024-02-19,great movie daughter loved ignore critic enjoy unless normally agree 😂 find mostly wrong go liked,positivo
56996,56996,Great new Marvel hero Plenty of action,Chuck F,2024-02-19,great new marvel hero plenty action,positivo
56997,56997,why did sony pick her?  she is a really really opscre marvel hero mostly because most people who watch movies don´t read comics,Dylan C,2024-02-19,sony pick really really obscure marvel hero mostly people watch movie don´t read comic,positivo
56998,56998,Excellent story and acting. Glad I saw this superhero movie which had very minimal CGI for once. Dakota Johnson had a great performance aling with the rest of the cast. Cannot wait to see the sequel.,Eric R,2024-02-19,excellent story acting glad saw superhero movie minimal cgi dakota johnson great performance align rest cast wait see sequel,positivo
56999,56999,I especially liked the lead character.  There was plenty of action in the movie but it seemed like it used Spiderman to try a different play on spiders. Seemed obvious that the girls will be returning as superheros in the future.,Deborah,2024-02-19,especially liked lead character plenty action movie seemed like used sideman try different play spider seemed obvious girl returning superhero future,positivo
58500,58500,"I really enjoyed this movie, the action was great and I loved the back story that was given",melissa b,2024-02-19,really enjoyed movie action great loved back story given,positivo
58501,58501,"I thought it was a great entertaining movie all the way around. People tend to forget that even though a movie could be tied to a book or comic book it doesn't necessarily mean it has to follow it in purity. There are plenty of people that just want to see a movie and be entertained, not disseminate it like the ""thirty-something"" year old critics we see here, who feel their childhood dreams have been brutally smashed because it is not replicating the greatest of detail those weekly ""allowance money"" comic books they poured over, while sipping their Capri sun's and feeding their Tamagotchi, happily surrounded by their ""participation trophies"". They are probably still fondly holding on to their 24K-gold-plated-Mewtwo-Burger-King-kids-meal-Pokémon card and sweetly whispering ""Someday little buddy, you'll be worth something."" It's ok kids, mom still loves you and you're the greatest!",Sassy  L,2024-02-19,thought great entertaining movie way around people tend forget even though movie could tied book comic book doesnt necessarily mean follow purity plenty people want see movie entertained disseminate like thirtysomething year old critic see feel childhood dream brutally smashed replicating greatest detail weekly allowance money comic book poured shipping caps sun feeding tamagotchi happily surrounded participation trophy probably still fondly holding kgoldplatedmewtwoburgerkingkidsmealpokémon card weekly whispering someday little buddy you worth something ok kid mom still love youre greatest,positivo
58502,58502,The first movie I walked out on in years. Absolute trash.,Christopher,2024-02-19,first movie walked year absolute trash,neutro
58503,58503,Not very interesting,Roberto,2024-02-19,interesting,positivo
58504,58504,Finally a decent introduction of a new character! I would like to see a more invested Johnson in expressing Cassie's feelings and I hope in the future it'll better. A little disappointed for the absence of post-movie and post-credit scenes but that's ok.,Raluca U,2024-02-19,finally decent introduction new character would like see invested johnson expressing case feeling hope future till better little disappointed absence postmovie postcredit scene thats ok,positivo
58505,58505,This is a great film.  I have no idea why the critics have scored it so low.  I really enjoyed it.,maria h,2024-02-19,great film idea critic scored low really enjoyed,positivo
58506,58506,"I went and watched this with my kids ranging in age from 9-17. All of us thought this was a really good movie. I don't see where some of the criticism on confusing plot or lack of action is coming from. The characters all have good story arc's, the bad guy does a reasonable good job being a bad guy especially when seen through the glimpses that Madame Web gets. I think Dakota Johnson does a good job with the role and gives a good performance as the lead character. I think they did rush past some of the better easter eggs in the movie which would have been great if they expanded on those a little more. The only thing I wasn't real clear on was her state at the end of the film, which I won't ruin here. All in all, if you really like Marvel movies or at least Sony Spider-man flicks, then I think this is a really good movie.",Robert S,2024-02-19,went watched kid ranging age u thought really good movie dont see criticism confusing plot lack action coming character good story arc bad guy reasonable good job bad guy especially seen glimpse madame web get think dakota johnson good job role give good performance lead character think rush past better easter egg movie would great expanded little thing wasnt real clear state end film wont ruin really like marvel movie least sony sideman flick think really good movie,positivo
58507,58507,Fantastic film... I was glued to my seat the whole time.,Jessica E,2024-02-19,fantastic film glued seat whole time,positivo
58508,58508,"Pretty solid film. Required a bit of extreme suspension of disbelief at points: not superhero stuff where you'd expect it, but things like a flickering neon sign completely broken off its power supply.

I felt the story was a little off the beaten path from other superhero films, and it added some welcome originality.

Dakota Johnson did a great job in the lead role, playing the kind of discombobulated discoverer of her powers and becoming more and more competent over time. The three girls were written a bit two-dimensional but played really well by their actors. 

Overall, I'd recommend the film. Just think of it as a fun ride and don't be overly analytical or critical.",Eric,2024-02-19,pretty solid film required bit extreme suspension disbelief point superhero stuff you expect thing like bickering neon sign completely broken power supply felt story little beaten path superhero film added welcome originality dakota johnson great job lead role playing kind discombobulated discoverer power becoming competent time three girl written bit twodimensional played really well actor overall id recommend film think fun ride dont overly analytical critical,positivo
58509,58509,"Hey Sony I'm gonna pitch a concept that you might pay a couple of million for.... seeing as how you haven't been able to come up with it yourselves.

Make a good movie....  that's it.
Even great is shooting a little high at this point.  Your getting so that what ever marvel character your involved with isn't going to bring in any money at all if your names attached to it with such poor story telling and weak writers attached.

The screen writers and producers need another job other than this. This was horrible!
The idea is good and that's about it on this one.  The movie makes no since and is very boring and underwhelming. The script is horrible. Writers move the story for goodness sakes it's stagnant.  And more importantly end up somewhere.  All the blame is on the higher ups on this one, you can tell by all that was allowed to be released.",Daniel,2024-02-19,hey sony im gon na pitch concept might pay couple million seeing havent able come make good movie thats even great shooting little high point getting ever marvel character involved isnt going bring money name attached poor story telling weak writer attached screen writer producer need another job horrible idea good thats one movie make since boring underwhelming script horrible writer move story goodness sake stagnant importantly end somewhere blame higher ups one tell allowed released,neutro
58510,58510,What was that? For what? Wretched idea,Yuriy H,2024-02-19,wretched idea,neutro
58511,58511,The internet can be lame. It becomes the cool thing to attack Sony Spider-Man spin off movies so people jump on the band wagon. Movie is nowhere near atrocious. It's a fine fun movie.,F F,2024-02-19,internet lame becomes cool thing attack sony sideman spin movie people jump band wagon movie nowhere near atrocious fine fun movie,negativo
58512,58512,"This is just too bad to put into words, arguably worse than the 2015 Fan4stic.",Michael S,2024-02-19,bad put word arguably worse fanatic,negativo
58513,58513,"2000s comic book movie. No it's not the MCU. No it's not the ‘worst comic book movie yet'. Very convinced people are jumping on this because it's popular to hate Sony's superhero movies. It was fun, it reminded me of when superhero movies were fun and simple. It was enjoyable….for the most part.

There was some very awful dialogue, and some even worst acting, specifically from the villain. What was that? Did they dub the whole thing? It was actually unbearable to watch that guy. I can't praise it for that, the movie overall isn't great but it's not as bad as people are saying either. Just maybe Sony should watch the movie before they release it next time?",Abbie F,2024-02-19,comic book movie mcu ‘ worst comic book movie yet convinced people jumping popular hate songs superhero movie fun reminded superhero movie fun simple enjoyable…for part awful dialogue even worst acting specifically villain dub whole thing actually unbearable watch guy cant praise movie overall isnt great bad people saying either maybe sony watch movie release next time,negativo
58514,58514,"It feels like on purpose they want this movie to bomb at the box office (like an evil plan or something), but for me and my family it was an absolute must see! Such an amazing acting from Dakota, very good CGIs (not like some recent much bigger budget movies) and a good story line! 

Don't listen to people and news around the world, this movie is good entertainment! Highly recommended!",Nisjet L,2024-02-19,feel like purpose want movie bomb box office like evil plan something family absolute must see amazing acting dakota good cgi like recent much bigger budget movie good story line dont listen people news around world movie good entertainment highly recommended,positivo
58515,58515,"CGI is the worst I've seen in the last few years. The best part of the movie is Dakota Johnson and her acting. I understand that Ezekiel comes from a poor family, but that's not enough reason to be a bad person.",Katarzyna F,2024-02-19,cgi worst ive seen last year best part movie dakota johnson acting understand ezekiel come poor family thats enough reason bad person,negativo
58516,58516,"Too many plot holes, misleading advertising (trailer), is there going to be a director's cut to fill them? I hope so, the special effects were decent (Thanks, movie gods!) but as mediocre as it was, I preferred this to the latest ""Aquaman"" where I actually left the theater.",Rickie J,2024-02-19,many plot hole misleading advertising trailer going director cut fill hope special effect decent thanks movie god mediocre preferred latest aquaman actually left theater,positivo
58517,58517,Not as terrible as critics say. It is a little slow at some points but it was an overall enjoyable movie.,Richard G,2024-02-19,terrible critic say little slow point overall enjoyable movie,negativo
58518,58518,I went in thinking it would be a fun bad movie but it was funny how bad it was.,abhay d,2024-02-19,went thinking would fun bad movie funny bad,negativo
58519,58519,This movie is decent. Idk why people are giving these reviews. It’s a super hero movie not The Green Mile or Good Will Hunting. Go watch it for yourself.,Marques,2024-02-19,movie decent id people giving review ’ super hero movie green mile good hunting go watch,positivo
60040,60040,"Don't get me wrong: this movie is horrible. The writing is terrible, the directing is choppy, and Dakota Johnson is completely incapable of displaying any sort of passion (ironic, isn't it?), but it's the sort of movie that's extremely fun to make fun of with your friends. I'd wait for it to be on streaming, but it's still worth checking out.",Hailey C,2024-02-19,dont get wrong movie horrible writing terrible directing choppy dakota johnson completely incapable displaying sort passion ironic isnt sort movie thats extremely fun make fun friend id wait streaming still worth checking,positivo
